goods_code,day,qty
472084,20191102,122.0
599621,20191207,122.0
892166,20191111,122.0
927962,20191222,122.0
188847,20200104,121.0
919886,20191227,121.0
927962,20191031,121.0
927962,20191104,121.0
956730,20191107,121.0
072041,20191114,120.0
381525,20191102,120.0
381525,20191213,120.0
459115,20191222,120.0
599621,20191127,120.0
600361,20191109,120.0
547638,20191109,119.0
975409,20191207,119.0
910505,20191129,118.0
919886,20200107,118.0
922286,20191110,118.0
600361,20191110,117.0
910505,20191202,117.0
910505,20191224,117.0
927962,20191102,117.0
941047,20191213,117.0
975409,20191228,117.0
910505,20191115,116.0
927962,20191201,116.0
944801,20191123,116.0
910505,20191110,115.0
910505,20191118,115.0
910505,20200104,115.0
927962,20191118,115.0
970863,20191101,115.0
484543,20191107,114.0
484543,20191202,114.0
910505,20191216,114.0
941047,20191128,114.0
978726,20191126,114.0
603498,20191117,113.0
916767,20191102,113.0
975409,20191122,113.0
975409,20191214,113.0
918771,20191102,112.50500000000001
253708,20191124,112.0
910505,20191125,112.0
381525,20191114,111.0
381525,20191207,111.0
600361,20191102,111.0
600361,20191123,111.0
910505,20191108,111.0
910505,20200103,111.0
956730,20191109,111.0
970863,20191113,111.0
975409,20191119,111.0
815563,20191224,110.0
910505,20191229,110.0
922286,20191209,110.0
910505,20191126,109.0
910505,20191211,109.0
922286,20191118,109.0
927962,20191105,109.0
918771,20191117,108.07400000000001
381525,20191221,108.0
600361,20191214,108.0
910505,20191203,108.0
910505,20191227,108.0
922286,20191103,108.0
922286,20191113,108.0
922286,20191203,108.0
927962,20191114,108.0
927962,20200102,108.0
956730,20191106,108.0
970103,20191102,108.0
977033,20191130,108.0
910505,20191107,107.0
910505,20191119,107.0
926543,20191117,107.0
979815,20191123,107.0
516880,20191031,106.0
927962,20200107,106.0
918771,20191201,105.606
910505,20191222,105.0
975409,20191121,105.0
978726,20200101,105.0
978726,20200102,105.0
918771,20191130,104.07600000000001
026740,20191120,104.0
472084,20191127,104.0
572222,20191124,104.0
600361,20191115,104.0
927962,20191106,104.0
970103,20191114,104.0
188623,20191114,103.0
486282,20191107,103.0
910505,20191201,103.0
910505,20191231,103.0
915660,20191218,103.0
916767,20191113,103.0
938704,20191222,103.0
543272,20191219,102.0
910505,20191105,102.0
910505,20191106,102.0
910505,20191114,102.0
918532,20191109,102.0
927962,20191228,102.0
944801,20191103,102.0
381525,20191103,101.0
547620,20191106,101.0
922286,20191210,101.0
979815,20191110,101.0
918771,20191214,100.30200000000002
600361,20191231,100.0
892166,20191201,100.0
956730,20191101,100.0
970863,20191106,100.0
918771,20191110,99.68700000000001
918771,20191115,99.478
599621,20191122,99.0
599621,20191231,99.0
600361,20191108,99.0
600361,20191207,99.0
910505,20200102,99.0
916767,20191123,99.0
922286,20191130,99.0
975409,20191126,99.0
056598,20191111,98.0
